EDfile_name,index_events_code_start,index_events_code_end,failed/non_failed,update/non-update,id_target,id_update,bhvStat1,failed/non_failed,id_target,id_update,trial_mode,start_of_pre_cue,last_enter_to_target,cue_onset,go_signal,trial_jump,move_onset,in_periphery,end_of_hold,reward,end_of_trial
t5601ee.3.mat,45,46,1,2,7,NaN,98,2,7,NaN,94.6308,94.8882,95.2699,95.8004,96.5349,NaN,96.7183,97.0184,97.428,97.1337,97.4294,96.7544
t5601ee.3.mat,47,48,0,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.3.mat,49,50,1,1,6,4,99,1,6,4,101.5938,101.8514,102.2814,102.8113,103.4781,103.6102,103.6622,104.0969,103.6102,104.2118,104.5191,103.8633
t5601ee.3.mat,51,52,0,2,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.3.mat,53,54,1,2,2,NaN,100,2,2,NaN,108.8354,109.1192,109.5251,110.0552,110.8219,NaN,110.8728,111.292,111.7093,111.4056,111.7127,111.0452
t5601ee.3.mat,55,56,0,2,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.3.mat,57,58,0,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.4.mat,1,2,1,1,7,6,101,1,7,6,12.0403,12.3171,13.776,14.3053,15.1393,15.204,15.4733,15.7256,15.204,15.939,16.2472,15.4653
t5601ee.4.mat,3,4,0,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.4.mat,5,6,1,2,5,NaN,102,2,5,NaN,20.7004,20.9879,21.452,21.9988,22.699,NaN,22.9509,23.2351,23.6533,23.3493,23.6566,22.8898
t5601ee.4.mat,7,8,1,2,8,NaN,103,2,8,NaN,24.8315,25.1149,25.5003,26.0787,26.8129,NaN,26.9138,27.1981,27.6154,27.3124,27.6187,26.9537
