EDFile,plxMergeEDFiles,KiloMergedEDFiles,ED_trial,Video_trial,Success
t5601ee.15,,t5601ee.15,61,865,1
t5601ee.15,,t5601ee.15,62,866,1
t5601ee.15,,t5601ee.15,63,867,0
t5601ee.15,,t5601ee.15,64,868,1
t5601ee.15,,t5601ee.15,65,869,0
t5601ee.15,,t5601ee.15,66,870,1
t5601ee.15,,t5601ee.15,67,871,1
t5601ee.15,,t5601ee.15,68,872,1
t5601ee.15,,t5601ee.15,69,873,0
t5601ee.15,,t5601ee.15,70,874,0
t5601ee.15,,t5601ee.15,71,875,1
t5601ee.15,,t5601ee.15,72,876,1
t5601ee.15,,t5601ee.15,73,877,1
t5601ee.15,,t5601ee.15,74,878,1
t5601ee.15,,t5601ee.15,75,879,1
t5601ee.15,,t5601ee.15,76,880,1
t5601ee.15,,t5601ee.15,77,881,1
t5601ee.15,,t5601ee.15,78,882,1
t5601ee.15,,t5601ee.15,79,883,1
t5601ee.15,,t5601ee.15,80,884,1
t5601ee.15,,t5601ee.15,81,885,1
t5601ee.15,,t5601ee.15,82,886,1
t5601ee.15,,t5601ee.15,83,887,0
t5601ee.15,,t5601ee.15,84,NaN,0
t5601ee.16,,t5601ee.16,1,888,1
t5601ee.16,,t5601ee.16,2,889,1
t5601ee.16,,t5601ee.16,3,890,1
t5601ee.16,,t5601ee.16,4,891,1
t5601ee.16,,t5601ee.16,5,892,1
t5601ee.16,,t5601ee.16,6,893,1
t5601ee.16,,t5601ee.16,7,894,0
t5601ee.16,,t5601ee.16,8,895,0
t5601ee.16,,t5601ee.16,9,896,1
t5601ee.16,,t5601ee.16,10,897,1
t5601ee.16,,t5601ee.16,11,898,1
t5601ee.16,,t5601ee.16,12,899,1
t5601ee.16,,t5601ee.16,13,900,1
t5601ee.16,,t5601ee.16,14,901,0
t5601ee.16,,t5601ee.16,15,902,1
t5601ee.16,,t5601ee.16,16,903,1
t5601ee.16,,t5601ee.16,17,904,0
t5601ee.16,,t5601ee.16,18,905,1
t5601ee.16,,t5601ee.16,19,906,1
t5601ee.16,,t5601ee.16,20,907,1
t5601ee.16,,t5601ee.16,21,908,0
t5601ee.16,,t5601ee.16,22,909,1
t5601ee.16,,t5601ee.16,23,910,0
t5601ee.16,,t5601ee.16,24,911,0
t5601ee.16,,t5601ee.16,25,912,0
t5601ee.16,,t5601ee.16,26,913,1
t5601ee.16,,t5601ee.16,27,914,1
t5601ee.16,,t5601ee.16,28,915,1
t5601ee.16,,t5601ee.16,29,916,1
t5601ee.16,,t5601ee.16,30,917,0
t5601ee.16,,t5601ee.16,31,918,0
t5601ee.16,,t5601ee.16,32,919,1
t5601ee.16,,t5601ee.16,33,920,0
t5601ee.16,,t5601ee.16,34,921,0
t5601ee.16,,t5601ee.16,35,922,1
t5601ee.16,,t5601ee.16,36,923,1
t5601ee.16,,t5601ee.16,37,924,1
t5601ee.16,,t5601ee.16,38,925,1
t5601ee.16,,t5601ee.16,39,926,1
t5601ee.16,,t5601ee.16,40,927,1
t5601ee.16,,t5601ee.16,41,928,1
t5601ee.16,,t5601ee.16,42,929,1
t5601ee.16,,t5601ee.16,43,930,1
t5601ee.16,,t5601ee.16,44,931,1
t5601ee.16,,t5601ee.16,45,932,1
t5601ee.16,,t5601ee.16,46,933,0
t5601ee.16,,t5601ee.16,47,934,1
t5601ee.16,,t5601ee.16,48,935,1
t5601ee.16,,t5601ee.16,49,936,1
t5601ee.16,,t5601ee.16,50,937,0
t5601ee.16,,t5601ee.16,51,938,1
t5601ee.16,,t5601ee.16,52,939,1
t5601ee.16,,t5601ee.16,53,940,0
t5601ee.16,,t5601ee.16,54,941,1
t5601ee.16,,t5601ee.16,55,942,1
t5601ee.16,,t5601ee.16,56,943,1
t5601ee.16,,t5601ee.16,57,944,1
t5601ee.16,,t5601ee.16,58,945,0
t5601ee.16,,t5601ee.16,59,946,0
t5601ee.16,,t5601ee.16,60,947,1
t5601ee.16,,t5601ee.16,61,948,1
t5601ee.16,,t5601ee.16,62,949,0
t5601ee.16,,t5601ee.16,63,950,1
t5601ee.16,,t5601ee.16,64,951,0
t5601ee.16,,t5601ee.16,65,952,1
t5601ee.16,,t5601ee.16,66,953,1
t5601ee.16,,t5601ee.16,67,954,0
t5601ee.16,,t5601ee.16,68,955,1
t5601ee.16,,t5601ee.16,69,956,1
t5601ee.16,,t5601ee.16,70,957,1
t5601ee.16,,t5601ee.16,71,958,1
t5601ee.16,,t5601ee.16,72,959,1
t5601ee.16,,t5601ee.16,73,960,0
t5601ee.16,,t5601ee.16,74,961,1
t5601ee.16,,t5601ee.16,75,962,1
t5601ee.16,,t5601ee.16,76,963,0
t5601ee.16,,t5601ee.16,77,964,1
t5601ee.16,,t5601ee.16,78,965,0
t5601ee.16,,t5601ee.16,79,966,1
t5601ee.16,,t5601ee.16,80,967,1
t5601ee.16,,t5601ee.16,81,968,1
t5601ee.16,,t5601ee.16,82,969,0
t5601ee.16,,t5601ee.16,83,NaN,0
t5601ee.17,,t5601ee.17,1,970,1
t5601ee.17,,t5601ee.17,2,971,1
t5601ee.17,,t5601ee.17,3,972,0
t5601ee.17,,t5601ee.17,4,973,1
t5601ee.17,,t5601ee.17,5,974,1
t5601ee.17,,t5601ee.17,6,975,1
t5601ee.17,,t5601ee.17,7,976,1
t5601ee.17,,t5601ee.17,8,977,1
t5601ee.17,,t5601ee.17,9,978,0
t5601ee.17,,t5601ee.17,10,979,1
t5601ee.17,,t5601ee.17,11,980,1
t5601ee.17,,t5601ee.17,12,981,1
t5601ee.17,,t5601ee.17,13,982,1
t5601ee.17,,t5601ee.17,14,983,1
t5601ee.17,,t5601ee.17,15,984,0
t5601ee.17,,t5601ee.17,16,985,1
t5601ee.17,,t5601ee.17,17,986,1
t5601ee.17,,t5601ee.17,18,987,1
t5601ee.17,,t5601ee.17,19,988,1
t5601ee.17,,t5601ee.17,20,989,1
t5601ee.17,,t5601ee.17,21,990,1
t5601ee.17,,t5601ee.17,22,991,1
t5601ee.17,,t5601ee.17,23,992,1
t5601ee.17,,t5601ee.17,24,993,0
t5601ee.17,,t5601ee.17,25,NaN,0
t5601ee.18,,t5601ee.18,1,994,0
t5601ee.18,,t5601ee.18,2,995,1
t5601ee.18,,t5601ee.18,3,996,1
t5601ee.18,,t5601ee.18,4,997,1
t5601ee.18,,t5601ee.18,5,998,0
t5601ee.18,,t5601ee.18,6,999,1
t5601ee.18,,t5601ee.18,7,1000,1
t5601ee.18,,t5601ee.18,8,1001,1
t5601ee.18,,t5601ee.18,9,1002,1
t5601ee.18,,t5601ee.18,10,1003,1
t5601ee.18,,t5601ee.18,11,1004,0
t5601ee.18,,t5601ee.18,12,1005,1
t5601ee.18,,t5601ee.18,13,1006,1
t5601ee.18,,t5601ee.18,14,1007,1
t5601ee.18,,t5601ee.18,15,1008,1
t5601ee.18,,t5601ee.18,16,1009,1
t5601ee.18,,t5601ee.18,17,1010,1
t5601ee.18,,t5601ee.18,18,1011,0
t5601ee.18,,t5601ee.18,19,1012,1
t5601ee.18,,t5601ee.18,20,1013,1
t5601ee.18,,t5601ee.18,21,1014,1
t5601ee.18,,t5601ee.18,22,1015,0
t5601ee.18,,t5601ee.18,23,1016,1
t5601ee.18,,t5601ee.18,24,1017,0
t5601ee.18,,t5601ee.18,25,1018,1
t5601ee.18,,t5601ee.18,26,1019,1
t5601ee.18,,t5601ee.18,27,1020,0
t5601ee.18,,t5601ee.18,28,NaN,0
t5601ee.19,,t5601ee.19,1,1021,1
t5601ee.19,,t5601ee.19,2,1022,1
t5601ee.19,,t5601ee.19,3,1023,1
t5601ee.19,,t5601ee.19,4,1024,1
t5601ee.19,,t5601ee.19,5,1025,1
t5601ee.19,,t5601ee.19,6,1026,1
t5601ee.19,,t5601ee.19,7,1027,1
t5601ee.19,,t5601ee.19,8,1028,1
t5601ee.19,,t5601ee.19,9,1029,0
t5601ee.19,,t5601ee.19,10,1030,1
t5601ee.19,,t5601ee.19,11,1031,1
t5601ee.19,,t5601ee.19,12,1032,1
t5601ee.19,,t5601ee.19,13,1033,0
t5601ee.19,,t5601ee.19,14,1034,0
t5601ee.19,,t5601ee.19,15,1035,1
t5601ee.19,,t5601ee.19,16,1036,1
t5601ee.19,,t5601ee.19,17,1037,1
t5601ee.19,,t5601ee.19,18,1038,1
t5601ee.19,,t5601ee.19,19,1039,0
t5601ee.19,,t5601ee.19,20,1040,1
t5601ee.19,,t5601ee.19,21,1041,1
t5601ee.19,,t5601ee.19,22,1042,1
t5601ee.19,,t5601ee.19,23,1043,1
t5601ee.19,,t5601ee.19,24,1044,0
t5601ee.19,,t5601ee.19,25,1045,1
t5601ee.19,,t5601ee.19,26,1046,1
t5601ee.19,,t5601ee.19,27,1047,0
t5601ee.19,,t5601ee.19,28,1048,1
t5601ee.19,,t5601ee.19,29,1049,1
t5601ee.19,,t5601ee.19,30,1050,0
t5601ee.19,,t5601ee.19,31,1051,1
t5601ee.19,,t5601ee.19,32,1052,1
t5601ee.19,,t5601ee.19,33,1053,1
t5601ee.19,,t5601ee.19,34,1054,1
t5601ee.19,,t5601ee.19,35,1055,1
t5601ee.19,,t5601ee.19,36,1056,0
t5601ee.19,,t5601ee.19,37,1057,1
t5601ee.19,,t5601ee.19,38,1058,1
t5601ee.19,,t5601ee.19,39,1059,1
t5601ee.19,,t5601ee.19,40,1060,1
t5601ee.19,,t5601ee.19,41,1061,1
t5601ee.19,,t5601ee.19,42,1062,1
t5601ee.19,,t5601ee.19,43,1063,1
t5601ee.19,,t5601ee.19,44,1064,1
t5601ee.19,,t5601ee.19,45,1065,1
t5601ee.19,,t5601ee.19,46,1066,1
t5601ee.19,,t5601ee.19,47,1067,1
t5601ee.19,,t5601ee.19,48,1068,1
t5601ee.19,,t5601ee.19,49,1069,0
t5601ee.19,,t5601ee.19,50,1070,1
t5601ee.19,,t5601ee.19,51,1071,1
t5601ee.19,,t5601ee.19,52,1072,0
t5601ee.19,,t5601ee.19,53,1073,1
t5601ee.19,,t5601ee.19,54,1074,1
t5601ee.19,,t5601ee.19,55,1075,1
t5601ee.19,,t5601ee.19,56,1076,1
t5601ee.19,,t5601ee.19,57,1077,1
t5601ee.19,,t5601ee.19,58,1078,1
